Building Type,Square Footage,Number of Occupants,Appliances Used,Average Temperature,Day of Week,Energy Consumption
2,47554,72,8,25.75,1,5628.95
1,24374,89,31,33.73,1,4560.05
1,11331,47,43,21.1,1,3791.04
2,2060,69,41,12.68,0,4099.62
1,47537,34,17,16.6,0,5023.85
0,29577,82,28,13.04,0,4343.66
1,39999,24,16,17.95,0,4520.19
1,22066,98,40,25.77,0,4804.46
2,22451,93,30,20.4,0,5100.56
2,35136,87,42,30.03,0,5866.63
0,39065,75,24,10.17,0,4682.41
1,46393,19,43,15.6,0,5341.65
1,42449,48,20,14.3,1,4930.94
2,19046,46,29,28.51,0,4399.73
1,34219,92,49,27.39,1,5473.98
0,48780,1,16,10.14,1,4218.29
0,1026,90,49,11.14,1,3375.62
1,21952,22,34,25.98,1,3867.72
1,25451,60,9,28.7,1,3909.07
1,44379,15,28,15.33,1,4852.28
2,40863,47,1,17.61,1,4945.09
0,21889,44,18,18.87,0,3350.09
1,49648,49,12,30.18,1,5061.5
1,26643,49,12,25.27,0,3985.8
0,8473,9,22,12.1,0,2443.16
2,32588,75,10,13.13,1,5013.75
2,27089,69,25,29.33,0,4947.78
0,34036,35,43,16.24,1,4330.61
2,17834,66,19,23.56,0,4363.89
0,35060,39,45,26.93,1,4408.36
0,3842,45,12,34.26,0,2260.82
0,25078,95,9,24.24,1,3762.71
1,2425,70,8,34.79,1,2807.29
1,3930,1,28,30.59,1,2613.53
0,31086,52,32,13.34,0,4197.59
0,31610,15,36,14.78,0,3926.61
0,45141,36,46,31.53,1,4879.42
2,16085,95,45,23.87,1,5034.91
1,43034,23,12,14.2,1,4550.69
0,49189,51,22,24.03,0,4839.29
1,13850,45,26,20.98,1,3557.61
2,13095,76,41,29.41,0,4637.71
1,22020,43,4,28.28,0,3519.59
0,14237,45,28,28.96,0,3127.07
1,7583,16,9,30.84,1,2564.94
2,12503,59,3,12.89,1,3710.69
0,27924,85,7,17.39,1,3799.24
1,13151,58,19,26.56,0,3534.74
1,2250,11,4,22.11,0,2241.96
2,3217,11,8,23.83,1,2811.68
1,27227,89,23,15.01,0,4686.28
0,30356,25,30,27.82,1,3728.69
1,21695,53,29,11.12,0,4189.13
0,4256,44,9,21.22,0,2276.7
0,25057,21,29,24.97,1,3417.99
1,625,9,18,19.56,0,2433.47
0,28356,32,2,15.25,1,3201.55
0,14788,38,9,22.75,0,2735.63
1,45686,12,46,22.81,0,5260.26
1,42252,19,33,11.34,1,4905.91
2,42824,90,34,27.26,1,6084.9
2,32075,8,38,18.84,1,4849.54
1,47819,81,5,24.47,0,5228.59
2,14260,74,8,27.33,0,4026.33
2,36944,57,18,29.65,0,5178.97
1,15729,36,17,20.37,1,3384.58
0,12754,89,48,30.51,0,3885.13
0,39610,91,40,27.6,0,5102.49
1,39059,57,47,28.74,1,5319.27
1,21081,20,42,25.28,1,3967.63
1,17274,97,46,15.79,0,4724.76
1,11289,25,8,26.63,1,2841.31
0,35557,99,27,31.43,1,4650.7
1,35900,49,19,31.45,1,4507.73
2,2856,12,19,27.05,0,3057.53
0,48023,42,46,17.82,1,5152.04
1,4732,52,39,28.23,1,3395.45
0,34095,29,21,29.94,1,3765.06
0,10725,28,22,28.11,0,2665.72
1,25057,86,32,30.61,0,4649.81
0,5290,61,11,33.75,0,2475.76
2,2480,30,9,24.72,0,3030.38
2,19596,23,35,19.8,1,4310.82
1,2921,50,5,10.33,0,2744.38
0,29125,57,7,16.94,0,3631.54
1,20076,33,42,34.22,1,4002.72
2,2836,46,46,13.74,1,3953.1
0,10484,81,48,13.6,0,3776.21
1,24570,17,11,11.75,0,3609.75
0,4633,98,2,15.1,0,2726.13
2,47304,98,11,12.3,0,6053.68
1,36562,99,11,30.78,1,4884.18
2,19350,38,13,28.33,1,3965.87
0,1739,61,26,30.51,0,2614.4
0,32390,84,15,27.44,0,4172.29
2,45504,24,32,24.99,0,5580.25
0,48790,58,38,28.79,0,5185.54
0,37834,12,10,32.88,1,3547.29
0,23650,82,29,20.36,0,4030.72
0,46058,88,33,11.53,0,5335.23
1,9211,33,28,10.16,1,3299.75
2,21672,7,34,28.05,0,4243.36
2,39943,74,5,31.83,0,5228.01
1,1456,74,38,15.66,1,3494.52
1,20559,21,8,26.77,0,3314.12
0,42960,78,33,19.33,0,5041.34
0,42063,77,9,17.72,1,4464.55
0,49488,99,41,17.6,0,5746.4
1,41657,76,38,32.07,0,5492.51
0,2024,25,4,28.84,1,1787.0
2,10268,35,20,33.18,0,3647.48
2,11224,25,49,15.38,1,4214.3
1,40192,23,23,30.0,1,4549.59
2,25791,84,45,14.96,1,5454.74
0,22292,25,43,24.55,1,3601.83
2,1114,14,40,12.59,1,3432.74
2,42707,4,44,16.78,1,5471.43
1,23540,80,10,15.5,0,4149.49
1,16938,36,13,15.51,0,3439.34
0,17934,70,44,27.56,0,3888.89
2,37719,16,20,23.97,0,4876.08
2,4533,20,46,12.33,0,3835.0
1,34061,43,14,31.26,0,4306.74
0,47555,34,29,24.16,0,4726.97
0,34572,14,1,12.8,1,3324.61
0,29552,42,38,25.04,0,4082.39
1,9874,5,19,20.65,0,2870.44
2,19597,89,6,23.69,1,4371.38
1,44665,36,2,13.93,1,4563.58
0,18811,19,25,14.33,0,3108.88
0,5795,17,42,33.72,1,2631.16
1,29035,5,34,19.77,0,4132.91
1,29365,18,24,12.93,1,4063.62
1,2606,30,2,29.63,0,2372.16
1,1322,81,2,15.38,1,2839.18
0,20644,29,7,21.54,0,2904.51
1,38506,82,26,17.62,1,5177.22
0,18524,78,4,33.5,0,3168.71
2,35122,56,41,34.55,0,5513.36
2,20549,68,4,24.59,1,4164.5
1,21439,24,42,15.79,1,4073.01
2,38073,87,22,34.18,1,5542.74
1,27205,44,14,11.38,1,4023.35
0,33475,82,13,32.62,1,4090.65
0,10347,94,8,17.91,1,3027.78
1,10896,71,17,16.99,1,3509.87
2,32909,47,29,33.37,1,5028.58
0,36340,42,15,31.27,1,3880.66
0,30129,29,33,23.73,1,3837.78
2,16869,10,13,20.89,1,3598.99
0,20603,98,36,29.52,1,4082.56
2,34580,47,13,25.41,1,4831.96
1,30527,70,20,11.89,0,4616.89
1,22236,65,5,34.67,1,3688.46
2,9282,17,6,29.31,0,3157.54
2,4297,7,32,15.67,0,3396.51
0,49345,22,18,11.87,0,4537.9
2,28645,32,43,12.86,0,5097.96
1,46148,5,20,29.6,0,4659.4
1,29757,3,6,11.91,1,3578.29
1,32765,26,9,10.52,0,4075.67
2,24558,80,8,24.3,1,4566.41
1,12842,60,39,25.63,1,3893.95
2,40464,89,17,34.04,0,5633.01
0,43820,3,36,22.96,0,4376.22
2,1025,28,48,24.41,0,3719.19
1,33357,92,43,23.58,1,5329.97
1,24357,6,29,21.36,1,3751.05
2,46460,3,18,25.95,1,5083.26
1,39504,86,46,12.07,0,5744.86
0,24010,87,36,19.67,0,4242.17
1,49287,60,42,18.31,0,5862.82
0,41260,35,38,29.66,1,4524.71
1,40983,66,47,12.96,0,5634.35
0,32847,34,35,19.28,1,4085.95
1,28029,38,15,18.72,1,3987.84
0,46740,19,25,10.29,1,4475.56
2,39724,44,38,14.79,0,5662.27
2,33797,86,13,13.96,0,5290.06
1,45238,72,47,20.95,0,5867.13
1,5584,21,9,29.51,1,2521.63
1,46697,70,7,25.71,0,5096.3
0,47804,99,38,31.79,1,5481.27
0,23696,85,29,11.31,1,4058.25
1,46219,49,41,29.52,1,5473.33
2,42273,99,36,21.27,1,6217.3
2,48017,1,8,32.46,0,4958.57
2,16396,79,49,10.39,1,5037.86
2,39841,47,7,25.25,0,5025.81
0,21109,78,36,10.33,1,4003.79
1,4518,85,27,15.09,1,3540.45
0,25838,75,27,24.06,0,4011.58
0,36423,89,29,18.3,0,4749.64
2,27223,86,44,30.86,1,5446.83
2,31963,69,5,10.24,0,4886.94
1,41860,28,34,23.64,1,4934.8
1,47100,5,1,10.13,1,4374.33
1,5148,72,18,26.98,1,3202.5
2,23519,55,45,14.99,0,5101.01
0,1620,72,23,20.14,1,2660.28
0,2579,32,49,12.3,1,2867.44
2,42374,36,28,29.67,1,5390.35
0,42740,60,22,15.42,0,4649.88
2,43908,1,28,19.15,0,5219.66
0,40787,35,4,13.99,0,3949.4
0,39530,59,25,23.69,0,4498.07
0,10895,18,26,34.47,0,2622.38
1,33562,61,41,34.63,1,4934.94
0,26321,89,43,13.9,1,4496.55
1,41901,23,26,33.56,1,4677.23
1,13213,79,30,26.73,1,3916.99
0,22230,16,25,29.13,1,3125.85
0,29102,31,41,32.35,0,3973.35
0,29692,13,45,26.11,1,3884.07
0,48979,61,1,24.54,0,4506.27
1,36955,71,27,28.08,1,4957.36
0,13724,13,4,20.76,0,2342.38
1,39209,67,24,21.48,1,5003.05
2,34677,55,29,18.34,1,5272.15
0,29509,64,47,14.73,1,4481.81
0,47233,66,8,10.16,0,4680.87
0,38500,42,49,25.31,1,4698.47
1,19756,61,47,33.38,1,4370.89
0,31159,35,42,17.84,0,4208.74
1,17675,48,36,19.41,0,4036.68
1,20123,13,19,24.92,0,3441.55
0,25361,77,26,24.09,1,3937.59
0,49256,82,35,30.7,1,5329.29
0,35339,85,27,32.39,1,4494.99
1,12153,75,23,16.83,1,3733.52
2,39698,85,36,17.99,0,6014.94
2,18833,30,25,22.66,0,4178.36
0,21081,5,25,26.29,1,2972.61
2,15061,43,21,26.86,0,4018.77
2,41631,13,6,29.32,1,4684.93
2,19529,85,19,28.85,0,4612.22
0,33539,21,15,28.71,0,3593.42
0,28196,74,19,24.55,1,3907.03
1,3420,61,49,12.65,1,3697.77
1,2982,15,13,11.71,1,2500.56
1,18881,54,6,19.05,0,3558.78
1,32623,65,29,27.67,0,4772.8
1,47214,48,20,22.94,1,5126.0
1,27237,39,41,15.33,1,4495.21
1,27288,32,42,11.26,0,4518.12
0,30257,72,10,33.34,0,3816.15
1,49653,89,37,26.33,1,5980.98
2,26349,88,46,10.79,1,5563.48
0,37629,17,14,21.58,1,3723.56
1,41696,98,43,33.1,0,5809.3
2,14098,16,45,19.1,1,4169.39
1,37435,26,35,21.64,0,4773.54
1,8470,50,46,26.35,0,3761.75
0,25019,19,35,28.29,0,3549.48
2,16501,63,45,10.2,0,4854.04
0,13909,62,21,18.76,1,3141.67
0,802,17,40,20.5,0,2457.6
2,18523,79,45,22.39,0,5054.19
2,10003,3,47,10.74,1,3916.46
2,32684,99,38,34.99,1,5709.26
2,46039,41,36,31.89,0,5822.52
1,22063,92,8,33.62,1,4015.07
1,20008,99,41,11.55,1,4752.66
1,20433,78,30,29.41,1,4254.59
2,40474,82,6,21.1,1,5358.22
1,42787,40,48,23.38,1,5382.43
0,35696,70,47,10.4,0,4922.82
2,20837,1,13,26.45,0,3729.59
0,43259,33,41,30.12,0,4712.33
0,14112,3,17,21.0,1,2470.59
2,26022,24,21,29.31,1,4314.56
1,26119,34,27,29.2,1,4039.93
0,40248,68,20,30.71,0,4488.84
1,24395,60,5,15.03,1,3844.62
2,13880,28,19,24.15,1,3733.24
0,39163,12,44,10.73,0,4454.51
1,4472,15,34,21.32,0,2996.99
2,20316,69,29,11.85,0,4776.54
0,38067,14,23,26.61,1,3870.32
1,7138,60,27,34.94,0,3372.2
1,25417,49,49,22.92,0,4676.25
1,7040,4,20,22.82,0,2727.89
2,7679,58,32,28.94,0,4009.27
2,5257,74,12,12.58,1,3679.96
2,6868,36,6,14.81,1,3249.36
1,18940,44,33,23.53,0,3979.37
